School	Tuition	Rating	$Value	
Lincoln College of Technology Vine StreetCincinnati, 229 Students	$11,895	-	-	
Lorain County Community CollegeElyria, 3,180 Students	$3,398	-	-	
Lourdes UniversitySylvania, 1,036 Students	$20,800	23	22	
Malone UniversityCanton, 1,222 Students	$29,000	51	62	
Marietta CollegeMarietta, 1,128 Students	$35,030	64	64	
Marion Technical CollegeMarion, 513 Students	$4,080	-	-	
Mercy College of OhioToledo, 497 Students	$12,360	-	-	
Miami University Best ValueOxford, 17,399 Students	$12,168	79	72	
Miami University HamiltonHamilton, 1,940 Students	$4,770	-	-	
Miami University MiddletownMiddletown, 1,165 Students	$4,770	-	-	
Miami Jacobs Career CollegeIndependence, 115 Students	$10,440	-	-	
Miami Jacobs Career College ColumbusColumbus, 241 Students	$10,440	-	-	
Miami Jacobs Career College DaytonDayton, 35 Students	$10,440	-	-	
Miami Jacobs Career College SharonvilleSharonville, 22 Students	$10,440	-	-	
Miami Jacobs Career College SpringboroSpringboro, 24 Students	$10,440	-	-	
Miami Jacobs Career College TroyTroy, 56 Students	$10,440	-	-	
Mount Carmel College of NursingColumbus, 736 Students	$12,927	41	63	
Mount Vernon Nazarene UniversityMount Vernon, 1,965 Students	$27,840	54	64	
Muskingum UniversityNew Concord, 1,380 Students	$26,900	44	56	
National College CincinnatiCincinnati, 13 Students	$14,832	-	-	
National College ColumbusColumbus, 3 Students	$14,832	-	-	
National College DaytonKettering, 39 Students	$14,832	-	-	
National College StowStow, 136 Students	$11,412	-	-	
National College Willoughby HillsWilloughby Hills, 61 Students	$11,412	-	-	
National College YoungstownYoungstown, 30 Students	$14,832	-	-	
North Central State CollegeMansfield, 795 Students	$3,016	-	-	
Northwest State Community CollegeArchbold, 596 Students	$3,776	-	-	
Notre Dame CollegeCleveland, 1,255 Students	$28,600	22	14	
Oberlin College Best ValueOberlin, 2,886 Students	$52,762	95	59	
Ohio Business College ColumbusColumbus, 40 Students	$8,460	-	-	
Ohio Business College SanduskySandusky, 139 Students	$8,460	-	-	
Ohio Business College SheffieldSheffield Village, 202 Students	$8,460	-	-	
Ohio Christian UniversityCircleville, 2,797 Students	$18,890	-	-	
Ohio College of Massotherapy IncAkron, 61 Students	$8,460	-	-	
Ohio Dominican UniversityColumbus, 1,232 Students	$30,500	54	62	
Ohio Mid Western CollegeCincinnati, 133 Students	$10,044	-	-	
Ohio Northern UniversityAda, 2,888 Students	$30,120	71	66	
Ohio State University Best ValueColumbus, 51,817 Students	$9,718	86	78	
Ohio State University Agricultural Technical InstituteWooster, 642 Students	$6,876	-	-	
Ohio State University Lima CampusLima, 854 Students	$6,912	-	-	
Ohio State University Mansfield CampusMansfield, 944 Students	$6,912	-	-	
Ohio State University Marion CampusMarion, 915 Students	$6,912	-	-	
Ohio State University Newark CampusNewark, 2,161 Students	$6,912	-	-	
Ohio University Chillicothe CampusChillicothe, 1,146 Students	$4,994	-	-	
Ohio University Eastern CampusSaint Clairsville, 404 Students	$4,740	-	-	
Ohio University Lancaster CampusLancaster, 1,147 Students	$4,994	-	-	
Ohio University Main CampusAthens, 20,815 Students	$11,896	59	67	
Ohio University Southern CampusIronton, 935 Students	$4,740	-	-	
Ohio University Zanesville CampusZanesville, 911 Students	$4,994	-	-	
Ohio Valley College of TechnologyEast Liverpool, 192 Students	$11,421	-	-	
Ohio Wesleyan UniversityDelaware, 1,623 Students	$44,430	-	-	
Otterbein UniversityWesterville, 2,312 Students	$31,424	61	57	
Owens Community CollegePerrysburg, 2,821 Students	$3,672	-	-	
Pontifical College JosephinumColumbus, 155 Students	$21,298	-	-	
Professional Skills InstituteToledo, 290 Students	$13,168	-	-	
Rabbinical College TelsheWickliffe, 73 Students	$10,700	-	-	
Remington College Cleveland CampusCleveland, 564 Students	$14,467	-	-	
Remington College Cleveland West CampusNorth Olmsted, 348 Students	$15,995	-	-	
Rosedale Bible CollegeIrwin, 47 Students	$8,400	-	-	
School of Advertising Art IncKettering, 191 Students	$26,714	-	-	
Shawnee State UniversityPortsmouth, 3,152 Students	$6,251	30	55	
Sinclair Community CollegeDayton, 6,056 Students	$3,162	-	-	
Southern State Community CollegeHillsboro, 946 Students	$4,232	-	-	
Stark State CollegeNorth Canton, 3,356 Students	$2,796	-	-	
Stautzenberger College BrecksvilleBrecksville, 198 Students	$12,592	-	-	
Stautzenberger College MaumeeMaumee, 300 Students	$12,762	-	-	
Terra State Community CollegeFremont, 670 Students	$3,876	-	-	
The Christ College of Nursing and Health SciencesCincinnati, 342 Students	$15,015	-	-	
The College of Wooster Best ValueWooster, 1,983 Students	$48,160	81	65	
The University of FindlayFindlay, 3,330 Students	$32,330	49	55	
Tiffin UniversityTiffin, 1,859 Students	$23,700	-	-	
Tri State Bible CollegeSouth Point, 14 Students	$8,400	-	-	
Trumbull Business CollegeWarren, 80 Students	$11,532	-	-	
Union Institute & UniversityCincinnati, 595 Students	$12,720	-	-	
University of Akron Main CampusAkron, 16,180 Students	$8,618	34	53	
University of Akron Wayne CollegeOrrville, 768 Students	$5,940	-	-	
University of Cincinnati Clermont CollegeBatavia, 1,595 Students	$4,580	-	-	
University of Cincinnati Main CampusCincinnati, 26,963 Students	$9,322	61	68	
University of Cincinnati Raymond Walters CollegeBlue Ash, 3,082 Students	$5,274	-	-	
University of Dayton Best ValueDayton, 9,675 Students	$41,750	78	58	
University of Mount UnionAlliance, 2,254 Students	$29,560	56	56	
University of Northwestern OhioLima, 3,484 Students	$10,200	-	-	
University of Phoenix Cincinnati CampusWest Chester, 162 Students	$9,480	-	-	
University of Phoenix Cleveland CampusIndependence, 102 Students	$11,056	-	-	
University of Phoenix Columbus Ohio CampusColumbus, 196 Students	$11,640	-	-	
University of Rio GrandeRio Grande, 1,399 Students	$25,545	-	-	
University of ToledoToledo, 16,030 Students	$8,052	41	64	
Urbana UniversityUrbana, 512 Students	$22,452	12	-	
Ursuline CollegePepper Pike, 519 Students	$30,840	36	58	
Vatterott College ClevelandBroadview Heights, 184 Students	$10,587	-	-	
Virginia Marti College of Art and DesignLakewood, 76 Students	$18,900	-	-	
Walsh UniversityNorth Canton, 2,041 Students	$27,650	48	59	
Washington State Community CollegeMarietta, 718 Students	$3,648	-	-	
Wilberforce UniversityWilberforce, 504 Students	$12,020	38	57	
Wilmington CollegeWilmington, 1,069 Students	$24,300	30	28	
Wittenberg UniversitySpringfield, 1,866 Students	$37,930	-	-	
Wright State University Lake CampusCelina, 926 Students	$5,842	21	64	
Wright State University Main CampusDayton, 11,208 Students	$8,730	38	63	
Xavier University Best ValueCincinnati, 4,903 Students	$37,000	71	60	
Youngstown State UniversityYoungstown, 9,497 Students	$7,847	43	76	
Zane State CollegeZanesville, 864 Students	$4,560	-	-	
